id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1567225,"NYC LARGE 3 BR West Side Manhattan, New York City",8336526,Matthew,Manhattan,Upper West Side,40.78024,-73.97941999999999,Entire home/apt,550,4,17,2019-04-29,0.27,1,201
16899058,The ❤️ of SoHo: Adorable 2 br // event space,112780904,Milly,Manhattan,SoHo,40.7255,-74.00258000000001,Entire home/apt,459,1,61,2019-07-01,2.04,1,173
1147507,RUSTIC/MODERN/EV/NYC,5523186,Mark,Manhattan,East Village,40.73032,-73.98469,Entire home/apt,750,3,9,2018-08-30,0.18,2,364
34316788,Central Park West: 3 Bedroom + 2 Bath Jewel-box,258159396,Nick,Manhattan,Upper West Side,40.8,-73.96025999999999,Entire home/apt,438,5,6,2019-07-05,3.1,1,136
35005222,Large 2bed/2bath Steps to Central Park!,159336075,Samm,Manhattan,Upper West Side,40.79837,-73.96061,Entire home/apt,400,4,3,2019-06-23,2.37,1,275
8921125,Superbe appartement vue sur Central Park,36264739,Carole,Manhattan,Upper West Side,40.7941,-73.96314,Entire home/apt,434,5,1,2018-01-03,0.05,1,0
30193428,*NO GUEST SERVICE FEE* Beekman Tower One Bedroom Suite  #9,205031545,Red Awning,Manhattan,Midtown,40.75271,-73.96638,Entire home/apt,714,28,0,,,49,257
15799603,Noisy room next to Prospect Park,391488,Thalith,Brooklyn,Prospect-Lefferts Gardens,40.65762,-73.96129,Private room,500,1,0,,,1,89
31014208,Bright & Airy East Village Penthouse w/ Terrace,8525142,Molly,Manhattan,East Village,40.72391,-73.97698000000001,Entire home/apt,520,3,7,2019-06-30,1.14,1,80
15436871,Entire Spacious 2 Bed Apt on UWS,7610841,Jenny,Manhattan,Upper West Side,40.80173,-73.96175,Entire home/apt,375,2,40,2019-06-15,1.54,2,285
289665,Decorators 5-Star Flat West Village,1503831,Elle,Manhattan,West Village,40.72891,-74.00293,Entire home/apt,450,20,157,2016-08-11,1.71,1,0
34866682,New 9 Bed 4 Full Bath 3000 SF Spacious Apartment,262657892,Philip,Brooklyn,Crown Heights,40.66678,-73.93035,Entire home/apt,830,3,0,,,3,213
11933676,Soho PH 2 Bedroom Private Terrace,63702305,Caroline,Manhattan,SoHo,40.72289,-73.9974,Entire home/apt,500,4,72,2019-07-01,1.8,1,330
8761013,"STUNNING 1661SFT, SOHO/TRIBECA LOFT",18062807,Marcelo,Manhattan,SoHo,40.72613,-74.00825999999999,Entire home/apt,399,90,5,2018-05-02,0.11,1,365
32740761,My place 4 u,181889371,David,Brooklyn,Sea Gate,40.57919,-74.00635,Entire home/apt,1315,10,0,,,1,0
10585031,Luxury affordable in Williamsburg!,48988714,Luigi,Brooklyn,Williamsburg,40.71362,-73.95617,Entire home/apt,360,1,4,2019-06-22,0.18,3,201
4909080,2 Stops to MANHATTAN!,25276263,Charles,Brooklyn,Boerum Hill,40.6881,-73.98699,Entire home/apt,500,6,29,2016-09-02,0.53,1,89
22192877,Upper West Side Home for the Holidays,22866437,Eliana,Manhattan,Upper West Side,40.77838,-73.97851,Entire home/apt,600,3,0,,,2,0
35000978,Photo Studio Loft with a Terrace,263690856,Lilian,Queens,Long Island City,40.7473,-73.93914000000001,Private room,389,1,0,,,1,296
29923618,Modern 3 Bedroom with Private Backyard,224987632,Daisy,Manhattan,Lower East Side,40.71992,-73.98472,Entire home/apt,550,3,50,2019-07-07,6.67,1,199
33741545,Astoria Apt,58024325,Nate,Queens,Astoria,40.76001,-73.92313,Private room,700,1,1,2019-05-06,0.47,1,125
35570674,Quiet Apartment for Large Groups,49658508,Kate,Manhattan,Kips Bay,40.74244,-73.97872,Entire home/apt,600,2,1,2019-07-02,1.0,1,226
15085833,Brand New 1 Bedroom NYC Apartment & Outside Space,5525273,Bryan,Manhattan,Harlem,40.80466,-73.95581999999999,Entire home/apt,399,3,1,2017-01-22,0.03,1,364
25462356,New Clean Comfortable Studio w/Terrace,154629753,Andrew,Manhattan,Hell's Kitchen,40.76746,-73.98942,Entire home/apt,500,10,41,2019-06-21,3.17,1,126
1976123,Huge Loft with Private Entrance,6547579,Josh,Manhattan,East Village,40.72823,-73.98933000000001,Entire home/apt,1999,1,20,2015-08-20,0.39,1,0
22780158,Park Place Townhouse by (Hidden by Airbnb),156158778,Sally,Brooklyn,Park Slope,40.67859,-73.97787,Entire home/apt,2626,1,0,,,12,31
30340089,Airy and Beautiful East Village 2BR Apt,224703803,Jed & Leah,Manhattan,East Village,40.72577,-73.98535,Entire home/apt,399,1,9,2019-05-27,1.49,1,319
27237625,*NO GUEST SERVICE FEE* Luxury Midtown One Bedroom Suite with Kitchen,205031545,Red Awning,Manhattan,Midtown,40.75459,-73.96706999999999,Entire home/apt,737,3,3,2019-06-10,0.44,49,153
30193485,*NO GUEST SERVICE FEE* Beekman Tower One Bedroom Suite  #6,205031545,Red Awning,Manhattan,Midtown,40.75459,-73.96566,Entire home/apt,714,28,0,,,49,257
35196447,Private Duplex with the BEST views of Manhattan,265020897,Ben,Brooklyn,Bushwick,40.7004,-73.92766,Entire home/apt,369,6,1,2019-07-01,1.0,2,29
8847577,Beautiful Brooklyn Brownstone,21052756,Odette,Brooklyn,Cobble Hill,40.68561,-73.99571999999999,Entire home/apt,1000,5,1,2016-01-03,0.02,1,0
30956885,Entire Loft Apartment in Soho/NoHo/Nolita,96049478,Lida,Manhattan,NoHo,40.726040000000005,-73.99342,Entire home/apt,550,7,4,2019-05-13,1.38,1,14
2392051,Spacious apt in the Lower East Side,132244,Tal,Manhattan,Lower East Side,40.71762,-73.98334,Entire home/apt,400,7,0,,,1,365
32721182,Gorgeous Dumbo 2-Bedroom w/ Incredible Views,245805416,Samantha,Brooklyn,DUMBO,40.70284,-73.99083,Entire home/apt,375,3,2,2019-06-27,2.0,1,242
27237610,*NO GUEST SERVICE FEE* Great Location! Luxury Midtown Studio with Kitchen,205031545,Red Awning,Manhattan,Midtown,40.75231,-73.96706999999999,Entire home/apt,699,3,7,2019-05-31,1.27,49,176
21798471,Prime Tribeca Loft,50760546,CRNY Monthly Rentals,Manhattan,Tribeca,40.72005,-74.00455,Entire home/apt,499,30,0,,,31,179
29061711,"In the heart of Hell’s Kitchen , Time Sqare.",76114530,Neetu,Manhattan,Hell's Kitchen,40.76177,-73.99426,Entire home/apt,575,6,0,,,1,83
7997433,30 Mins to Times Square -Javits Ctr! Awesome food!,42215969,Isaac,Queens,Woodside,40.74583,-73.90059000000001,Entire home/apt,450,1,0,,,1,341
16634357,Huge 2 Bed Apt with Private Bathrooms in UES!,109886922,Michael,Manhattan,Upper East Side,40.77486,-73.95296,Entire home/apt,899,30,6,2018-05-18,0.23,1,89
9382719,Center of Williamsburg - Modern apt w HUGE PATIO,8237570,Akash,Brooklyn,Williamsburg,40.71801,-73.9526,Entire home/apt,375,1,23,2018-05-20,0.52,2,364
20309605,"Luxe, Central Loft in Downtown Manhattan",4412976,Puja,Manhattan,Tribeca,40.72015,-74.00435,Entire home/apt,1500,3,2,2018-06-19,0.11,1,186
22544810,Williamsburg stunning duplex apartment 4br/3bath,10951481,Ann,Brooklyn,Williamsburg,40.712990000000005,-73.96144,Entire home/apt,550,2,92,2019-06-23,5.24,5,90
13113626,Fantastic Midtown Apartment!-2b,46648109,Bridgestreet Corporate,Manhattan,Midtown,40.75722,-73.97842,Entire home/apt,559,30,2,2018-10-20,0.17,1,0
9591852,Soho Greenwich Village 3+ BDR Duplx,49645950,Karen,Manhattan,SoHo,40.72546,-74.00036,Entire home/apt,450,3,12,2019-04-27,0.28,2,3
22295960,Chelsea Gallery Space for events and exhibitions,3750764,Kevin,Manhattan,Chelsea,40.75081,-74.00395999999999,Private room,2010,1,0,,,6,364
7174695,"Lux, UES,  3Beds, Family Apt",36903246,Dana,Manhattan,Upper East Side,40.776140000000005,-73.95036999999999,Entire home/apt,700,1,1,2015-09-05,0.02,1,0
26385422,NY HILTON CLUB 2 BR SUITE Luxury Holidays 2019,58071546,Mary,Manhattan,Midtown,40.76151,-73.97894000000001,Entire home/apt,599,2,3,2019-01-03,0.24,1,0
36189257,2BR Near Museum Mile! Upper East Side!,272166348,Mary Rotsen,Manhattan,Upper East Side,40.78132,-73.95262,Entire home/apt,1999,30,0,,,1,270
5049823,NYC New Years Penthouse suite,22927481,Howard,Manhattan,Midtown,40.7655,-73.98018,Private room,500,3,1,2015-11-11,0.02,3,0
30388449,"Spacious Chelsea 1BR w/ Gym, Balcony + Doorman by Blueground",107434423,Blueground,Manhattan,Chelsea,40.73806,-73.99744,Entire home/apt,365,30,0,,,232,261
2082694,Brand New 3BR Apartment,10638711,Corey,Brooklyn,Williamsburg,40.70958,-73.94287,Entire home/apt,700,3,1,2014-01-02,0.01,1,0
2263248,Large 1 bedroom,11557572,William,Manhattan,Kips Bay,40.74438,-73.97965,Entire home/apt,369,2,1,2015-10-01,0.02,1,0
29336271,San Carlos Hotel One Bedroom Suite - up to  5,173685298,Janet,Manhattan,Midtown,40.75613,-73.97055999999999,Private room,425,1,3,2019-03-10,0.36,11,177
30389224,"Mod Midtown West 2BR, Gym, Doorman + Water views by Blueground",107434423,Blueground,Manhattan,Hell's Kitchen,40.76087,-73.99563,Entire home/apt,365,30,0,,,232,326
36404784,Dapper Hell's Kitchen 2BR w/  Gym + W/D + Doorman by Blueground,107434423,Blueground,Manhattan,Hell's Kitchen,40.76082,-73.99709,Entire home/apt,385,30,0,,,232,338
35050872,"Cozy 4BR in FIDI, next to Wall St & One World Trad",260154981,Mats,Manhattan,Financial District,40.71055,-74.00623,Entire home/apt,395,3,5,2019-06-19,4.55,1,65
20452409,2 BR Presidential for FAMILY Vacation ★ EPIC VIEWS,64065593,ResortShare5,Manhattan,Midtown,40.751740000000005,-73.97213,Entire home/apt,672,2,3,2018-07-27,0.23,13,266
29631765,Modern and Spacious Brooklyn Duplex,17031708,Hannah,Brooklyn,Williamsburg,40.71301,-73.94846,Private room,500,3,1,2018-12-05,0.14,1,180
33326342,Alphabet Place II by (Hidden by Airbnb),156158778,Sally,Manhattan,East Village,40.72905,-73.97797,Entire home/apt,1145,1,0,,,12,0
30266235,2nd floor of 2-family house available for December,227310832,Carol,Queens,Astoria,40.76789,-73.93512,Entire home/apt,1500,7,0,,,1,365
29942901,"2 Beds apt, walk to Central Park and time square",215786346,Marina,Manhattan,Upper East Side,40.765440000000005,-73.9585,Entire home/apt,380,3,4,2019-06-24,0.51,1,156
33007610,70' Luxury MotorYacht on the Hudson,7407743,Jack,Manhattan,Battery Park City,40.71162,-74.01693,Entire home/apt,7500,1,0,,,1,364
2281142,Prime NYC Location for Super Bowl ,1427243,Jordana,Manhattan,East Village,40.73323,-73.98859,Entire home/apt,3750,1,0,,,1,0
15769652,Luxury Four-Bedroom/Six Bed Apt - Prime Chelsea,101976032,Jay,Manhattan,Chelsea,40.74407,-73.99365999999999,Entire home/apt,499,4,69,2019-06-18,2.13,1,280
20620647,Studio Deluxe 1 - Wyndham Midtown 45,145801588,Aaron,Manhattan,Midtown,40.7538,-73.97355,Private room,389,3,3,2017-09-14,0.13,4,357
29588371,San Carlos Hotel One Bedrm Suite/3 beds- up to 6,173685298,Janet,Manhattan,Midtown,40.75503,-73.97131,Private room,399,1,9,2019-07-01,1.23,11,176
35132016,Luxury 3BR in Upper West Side with swimming pool,60136891,Bo Hee,Manhattan,Upper West Side,40.78578,-73.97678,Entire home/apt,590,7,0,,,1,38
30496490,@@@Prime Location 2 Bedrooms NYC@@@,195422078,Aby,Manhattan,Midtown,40.75054,-73.98385999999999,Entire home/apt,365,30,0,,,1,145
27015464,Studio Penthouse,176950173,Aka,Manhattan,Midtown,40.764590000000005,-73.97529,Entire home/apt,395,1,0,,,2,328
33709053,Sonder | Stock Exchange | Tasteful 3BR + Laundry,219517861,Sonder (NYC),Manhattan,Financial District,40.70599,-74.01236,Entire home/apt,472,2,8,2019-06-23,3.43,327,262
7473810,Light-filled urban cabin,39143718,Sean,Brooklyn,Bedford-Stuyvesant,40.68141,-73.95841,Entire home/apt,400,7,9,2019-01-02,0.2,2,365
30314104,Magnificent Midtown West 2BR Apt + Gym and Spa!,163251048,Jen,Manhattan,Hell's Kitchen,40.76093,-73.99924,Entire home/apt,499,30,0,,,8,333
19548503,Chic & Modern Townhouse Apartment,5339759,Georgia,Manhattan,Greenwich Village,40.73384,-73.99616,Entire home/apt,499,30,10,2019-07-01,0.44,1,365
20621413,2-Bedroom Presidential 1 - Wyndham Midtown 45,145801588,Aaron,Manhattan,Midtown,40.75371,-73.97225999999999,Entire home/apt,699,3,3,2019-04-11,0.2,4,324
30142833,Brand New Modern Apt in Fi-Di Manhattan New York,61116037,Jackie,Manhattan,Financial District,40.70428,-74.00707,Entire home/apt,550,2,30,2019-06-23,3.96,1,72
1291245,ENORMOUS Artsy 2BR in trendy LES!,2078796,Andy,Manhattan,Chinatown,40.71634,-73.99031,Entire home/apt,399,2,2,2016-09-19,0.05,1,0
33072230,Sonder | Stock Exchange | Sleek 3BR + Laundry,219517861,Sonder (NYC),Manhattan,Financial District,40.70645,-74.01186,Entire home/apt,520,2,6,2019-06-16,2.43,327,262
34806115,AMAZING 2 BEDROOMS IN HEART OF CHELSEA!!!,148374046,Isra,Manhattan,Chelsea,40.74437,-74.00007,Entire home/apt,499,3,5,2019-06-25,4.05,1,199
738588,"Wedding guests accommodations, 3-7 bedrooms",1360198,Marina,Staten Island,Arrochar,40.59193,-74.06475999999999,Entire home/apt,625,4,1,2015-11-01,0.02,4,335
21723212,CROWN HEIGHTS GUEST HOUSE 2R2L3R3L+B,74541079,Abraham,Brooklyn,Crown Heights,40.66911,-73.93666,Entire home/apt,459,4,1,2019-06-24,1.0,9,87
7950368,Williamsburg Bedford Ave L Train,1696218,David,Brooklyn,Williamsburg,40.7187,-73.95606,Entire home/apt,500,26,9,2018-02-25,0.19,1,178
7987209,Floor 35th in the heart of New York,42154621,Ricardo,Manhattan,Theater District,40.7566,-73.98329,Entire home/apt,1195,3,109,2019-06-02,2.37,1,264
256328,Luxury Chelsea Townhouse at the High Line,1347034,Janine,Manhattan,Chelsea,40.74599,-74.00253000000001,Entire home/apt,760,2,7,2019-06-22,0.08,1,361
7217351,Red Hook Loading Dock Loft,10910216,Kate,Brooklyn,Red Hook,40.67993,-74.00688000000001,Entire home/apt,450,1,5,2019-04-20,0.1,1,207
30193147,*NO GUEST SERVICE FEE* Beekman Tower Studio Suite  #2,205031545,Red Awning,Manhattan,Midtown,40.75408,-73.96568,Entire home/apt,675,28,0,,,49,254
22017344,Full Floor Penthouse Loft- 3BR 2 Bath Times Square,160373219,Mo,Manhattan,Hell's Kitchen,40.76656,-73.98848000000001,Entire home/apt,487,4,50,2019-06-19,2.61,1,198
2151259,Superbowl Studio Upper West Side,10263977,A,Manhattan,Upper West Side,40.79752,-73.96298,Entire home/apt,750,3,0,,,1,0
20685952,Summer vibes,129602851,W.,Bronx,Unionport,40.83121,-73.8483,Entire home/apt,450,2,1,2018-02-01,0.06,2,342
30019462,Beautiful Times Square Apt. Heart of Manhattan!,219848970,Javier,Manhattan,Hell's Kitchen,40.76203,-73.99353,Entire home/apt,600,3,0,,,2,17
27237563,*NO GUEST SERVICE FEE* Studio Suite w/ Convenient Midtown Location,205031545,Red Awning,Manhattan,Midtown,40.75402,-73.9651,Entire home/apt,699,3,19,2019-06-11,2.45,49,204
28426648,Minimalist Loft  Luxury in Soho,214416012,James,Manhattan,SoHo,40.72345,-73.99943,Entire home/apt,800,2,36,2019-07-01,3.88,1,90
31052910,GORGEOUS PRIME SOHO 3 BEDROOMS PENTHOUSE,163035332,Pirin,Manhattan,SoHo,40.72267,-74.00334000000001,Entire home/apt,649,2,17,2019-07-01,2.59,3,281
2298759,Luxury Studio -Midtown/Times Square,11741773,Samson,Manhattan,Hell's Kitchen,40.76774,-73.98503000000001,Entire home/apt,425,1,0,,,1,0
8292864,Charming East Village Apartment,19194060,Ryan,Manhattan,East Village,40.7241,-73.97991999999999,Entire home/apt,600,3,0,,,1,0
714939,West Village 2 Bedroom Apt,3578480,Radan,Manhattan,West Village,40.73795,-74.00593,Entire home/apt,495,3,29,2019-03-12,0.38,1,22
4623622,Victorian with Stunning Views of NYC Harbor,22506665,William,Staten Island,St. George,40.64571,-74.07835,Entire home/apt,1000,1,0,,,1,364
35569456,"2 BR Modern Apt, Extra Lofted Bed, BK Heights",267621090,Shameika,Brooklyn,Brooklyn Heights,40.69934,-73.99635,Entire home/apt,600,3,4,2019-07-06,4.0,1,323
22780220,Prospect Place by (Hidden by Airbnb),156158778,Sally,Brooklyn,Prospect Heights,40.67829,-73.96899,Entire home/apt,2103,1,0,,,12,20
2210088,SUPER BOWL 2014 in TRENDY CHELSEA!,11273539,Julia,Manhattan,Chelsea,40.74798,-74.00314,Entire home/apt,900,1,0,,,1,0
15205915,2BdrmPRESIDENTIAL Luxury CONDO In the Heart of NYC,96098402,Wynpoints,Manhattan,Midtown,40.7521,-73.972,Private room,799,4,3,2017-01-13,0.09,12,365
34177117,Sonder | The Biltmore | 1BR,219517861,Sonder (NYC),Manhattan,Theater District,40.76118,-73.98635,Entire home/apt,699,29,0,,,327,365
30982372,Magnificent Industrial Chic 3 Bedroom Loft,228231975,Beny & Maria,Brooklyn,Williamsburg,40.71733,-73.96145,Entire home/apt,450,1,12,2019-07-01,2.79,1,334
28536172,NYC Townhouse & Private Roof Deck,189336520,Martha,Manhattan,Upper East Side,40.77141,-73.95658,Entire home/apt,1000,4,16,2019-06-15,1.97,1,66
35962803,Best Looking Townhouse in Brooklyn-GQ Magazine,5099333,Robert,Brooklyn,Fort Greene,40.68893,-73.97015999999999,Entire home/apt,800,3,0,,,1,37
36074198,Luxury apartment 2 min to times square,203565865,Vinícius,Manhattan,SoHo,40.7206,-74.00023,Entire home/apt,1308,2,0,,,1,179
31389656,NYC LUXURY3 BEDROOMS IN MIDTOWN EAST& GYM& BALCONY,170372974,Inbal,Manhattan,Murray Hill,40.74579,-73.9726,Entire home/apt,599,4,11,2019-06-30,2.23,1,140
6209994,4500 SQ FT Quiet Brooklyn Loft for Shoots & Events,319077,Shell,Brooklyn,Clinton Hill,40.68556,-73.96238000000001,Entire home/apt,750,1,15,2019-05-19,0.34,4,364
23372850,SHOOTS ONLY - Eclectic Artist Loft in Williamsburg,11844979,V,Brooklyn,Williamsburg,40.71846,-73.9616,Entire home/apt,2000,1,0,,,4,177
34308485,Delightful 3 Bedroom in Central Midtown Location,94111558,Lia And Patrick,Manhattan,Hell's Kitchen,40.76324,-73.98985,Entire home/apt,449,5,5,2019-06-27,3.26,1,222
2214978,Beautiful City Oasis 2BR/1.5 BATH ,11257635,T,Manhattan,Upper West Side,40.7834,-73.97904,Entire home/apt,395,3,1,2014-09-14,0.02,1,340
15260962,Luxury 2BR Penthouse in the hearth of Soho (Nyc),26830685,Gaia&Pietro,Manhattan,SoHo,40.72575,-74.00128000000001,Entire home/apt,850,3,32,2019-06-24,1.04,1,262
9289159,"Beautiful 5bedrm duplex,   sleeps 11 comfortably!",43963802,Tanya,Manhattan,Harlem,40.8228,-73.94566999999999,Entire home/apt,465,3,46,2019-06-29,1.22,2,325
22762560,Heart of new york city modern apt,4441023,Skander,Manhattan,Hell's Kitchen,40.75497,-73.99788000000001,Entire home/apt,450,2,2,2018-05-26,0.14,1,0
24948017,VERY BIG APARTMENT IN HARLEM/ENTIRE APARTMENT,185683441,Maxime C And Winie C,Manhattan,Harlem,40.81634,-73.94344,Entire home/apt,400,2,3,2018-10-26,0.24,3,175
35902528,Trendy4BR 2Baths Family Home| 10 min to Midtown,141716782,Nicholas,Queens,Long Island City,40.75283,-73.92504,Private room,375,2,0,,,1,356
4479632,Charming duplex garden flat in SoHo,20431437,Richard,Manhattan,SoHo,40.72736,-74.00192,Entire home/apt,495,30,159,2019-06-12,2.83,1,129
1489426,New york Multi-unit building,7964729,Justin,Manhattan,Financial District,40.70582,-74.00888,Entire home/apt,390,3,1,2018-09-13,0.1,1,0
5967998,2 Bedroom Appartment with Rooftop-Central Park,29278028,Alexis,Manhattan,Upper East Side,40.77635,-73.95616,Entire home/apt,450,5,37,2019-07-05,0.86,4,108
35912059,Luxury 2BR loft near Empire State Building,270054787,Emily,Manhattan,Midtown,40.74904,-73.98312,Entire home/apt,499,3,0,,,1,144
23110266,SoHo LOFT #2  Broadway Av. - Amazing Location!,108029974,Agustina,Manhattan,NoHo,40.72943,-73.99277,Entire home/apt,495,4,7,2019-03-27,0.46,4,63
34816480,MASSIVE loft in the Lower East Side,819674,Andrew,Manhattan,Chinatown,40.71409,-73.9918,Entire home/apt,450,3,0,,,1,4
31884652,Heart of Time Square w/ Spectacular View  3BR 2BA,235774051,Satoh,Manhattan,Theater District,40.759170000000005,-73.98246,Entire home/apt,519,2,10,2019-06-26,1.86,1,165
8840563,Sunny 1 bedroom long or short term,42621530,Maory,Brooklyn,Williamsburg,40.71097,-73.95886,Entire home/apt,1150,7,2,2015-12-07,0.04,1,0
34157056,Top Of New York City Luxury 2Bedroom -with Terrace,253328272,Dani,Manhattan,Murray Hill,40.74511,-73.97407,Entire home/apt,499,1,1,2019-06-08,1.0,1,216
24156731,2019 New York Marathon Weekend,132856118,Conchita,Manhattan,Midtown,40.76441,-73.98145,Entire home/apt,394,3,1,2018-11-05,0.12,1,13
18737594,Brownstone in Clinton Hill Brooklyn,45763784,Julio,Brooklyn,Clinton Hill,40.68499,-73.96524000000001,Entire home/apt,825,3,2,2018-09-28,0.19,2,44
17684359,BEST One Bedroom in the Heart of Manhattan,119829743,Scott,Manhattan,Chelsea,40.74054,-74.0004,Entire home/apt,365,6,7,2018-01-26,0.26,1,0
32463707,Not too late! Great place in Chelsea,58483,Deni,Manhattan,West Village,40.73988,-74.00356,Entire home/apt,500,2,0,,,1,0
8629187,ARTSY UNIQUE  GIANT TWO FLOOR APARTMENT,200782,Keith,Manhattan,Kips Bay,40.74262,-73.98063,Entire home/apt,495,15,4,2017-05-20,0.09,1,0
29513000,✨✨Union Square Duplex LOFT•••4 BEDS✨✨MUST SEE !!!!,48762596,Bob,Manhattan,Gramercy,40.7367,-73.98985,Entire home/apt,499,5,28,2019-06-19,3.36,1,145
30253236,SedaOn2 Dance Studio,140862407,Angelie,Bronx,Westchester Square,40.84378,-73.84469,Entire home/apt,670,1,2,2019-03-31,0.34,1,178
18935359,Magnificent Lakeview Home on Kissena Park in NYC,23234988,Ann,Queens,Flushing,40.74982,-73.8061,Entire home/apt,1500,3,0,,,6,256
919978,2bdrm + Patio/BackYard/Time Square/1st Floor,2230103,Time Square,Manhattan,Hell's Kitchen,40.7642,-73.98676999999999,Entire home/apt,399,2,287,2019-06-10,3.69,1,284
24632399,New*full floor 3BR2bath SPACIOUS FAMILY WELCOME*,1846051,Kj,Manhattan,Hell's Kitchen,40.76281,-73.98883000000001,Entire home/apt,415,4,43,2019-06-19,3.33,2,71
21684804,Charming duplex in east village with a balcony,12080664,Josephine,Manhattan,East Village,40.732,-73.98706,Entire home/apt,500,6,0,,,1,0
2150727,1500 sq ft apt sleeps 8 - SuperBowl,5579700,Steve,Manhattan,Gramercy,40.73545,-73.98238,Entire home/apt,2000,1,0,,,1,0
5146173,*Designer West Village Dream Home*,26606802,Christina,Manhattan,West Village,40.73451,-74.00746,Entire home/apt,510,3,12,2016-10-23,0.24,1,364
18506292,Ultra Lux Central Park/ Columbus Circle 2 bedroom,10605984,Gab,Manhattan,Upper West Side,40.76798,-73.98356,Entire home/apt,615,5,46,2019-06-18,1.78,1,282
30193036,*NO GUEST SERVICE FEE* Beekman Tower Studio Suite  #11,205031545,Red Awning,Manhattan,Midtown,40.75404,-73.9671,Entire home/apt,675,28,0,,,49,241
4262120,Columbus Circle and Park Views,6914968,Lisa,Manhattan,Upper West Side,40.7681,-73.98376999999999,Entire home/apt,2695,1,0,,,1,0
27237583,*NO GUEST SERVICE FEE* Beekman Tower Premium One Bedroom Suite,205031545,Red Awning,Manhattan,Midtown,40.75402,-73.96566999999999,Entire home/apt,737,3,1,2019-02-18,0.21,49,222
30106965,⍟Luxury high rise apt | 1 street to Times Square⍟,141713210,J.C.,Manhattan,Theater District,40.75716,-73.98796,Entire home/apt,400,4,2,2019-01-02,0.31,1,0
21038103,Great West Village Pad,151530017,Ma,Manhattan,West Village,40.73427,-74.00798,Private room,425,1,0,,,1,125
31018438,Charming 2 bedroom in Soho,231663345,Ana,Manhattan,Nolita,40.72316,-73.99577,Private room,399,3,7,2019-06-01,1.57,1,246
22486252,Spacious Loft with Amazing Sky Views,123953239,Philippe,Brooklyn,Williamsburg,40.71247,-73.96443000000001,Entire home/apt,400,2,8,2019-05-19,0.55,2,327
4566571,Penthouse loft with private patio,3814458,Ole,Manhattan,Midtown,40.75186,-73.98557,Entire home/apt,450,3,12,2016-04-10,0.23,1,0
10574909,Grand Loft in Prime Williamsburg,1802807,Lily,Brooklyn,Williamsburg,40.71412,-73.95895,Entire home/apt,600,30,7,2019-05-17,0.17,2,67
